Date,Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Metro_status
2022-03-10,Clay County,IA,56.1,51.5,Non-metro
2022-03-10,Mississippi County,MO,48.4,42.8,Non-metro
2022-03-10,Kidder County,ND,40.6,32.9,Non-metro
2022-03-10,Polk County,NE,0,41.3,Non-metro
2022-03-10,Henry County,IN,56.4,51.7,Non-metro
2022-03-10,Clinton County,MI,58.6,57.2,Metro
2022-03-10,Henderson County,IL,55.9,48.6,Non-metro
2022-03-10,Eddy County,ND,54.4,51.3,Non-metro
2022-03-10,Chase County,NE,0,33.3,Non-metro
2022-03-10,Unknown County,MI,0,0,NA
2022-03-10,Montmorency County,MI,55.9,54.2,Non-metro
2022-03-10,Dearborn County,IN,69.6,61,Metro
2022-03-10,Wayne County,IL,42.4,39.2,Non-metro
2022-03-10,Will County,IL,74.6,67.3,Metro
2022-03-10,Ionia County,MI,47.2,46.9,Non-metro
2022-03-10,Scott County,IL,44.6,42.1,Non-metro
2022-03-10,Beadle County,SD,63,48.6,Non-metro
2022-03-10,Whitley County,IN,50.8,46.7,Metro
2022-03-10,Trempealeau County,WI,70,65.6,Non-metro
2022-03-10,Jasper County,MO,54.6,46.9,Metro
2022-03-10,Scotts Bluff County,NE,0,41.2,Non-metro
2022-03-10,Stark County,ND,43.2,36,Non-metro
2022-03-10,Roscommon County,MI,58.1,55.9,Non-metro
2022-03-10,Redwood County,MN,56.6,53.9,Non-metro
2022-03-10,Ward County,ND,57.4,48.6,Non-metro
2022-03-10,Jewell County,KS,49.9,46.3,Non-metro
2022-03-10,McKenzie County,ND,28.1,21.8,Non-metro
2022-03-10,Adams County,IN,36,32.7,Non-metro
2022-03-10,Presque Isle County,MI,61.3,59.6,Non-metro
2022-03-10,Perkins County,SD,36.1,32.1,Non-metro
2022-03-10,Osage County,KS,56.5,50.7,Metro
2022-03-10,Morrison County,MN,53.5,48.8,Non-metro
2022-03-10,Potter County,SD,68.7,60.4,Non-metro
2022-03-10,Haakon County,SD,48,41.5,Non-metro
2022-03-10,Cuming County,NE,0,52.8,Non-metro
2022-03-10,O'Brien County,IA,53.2,50,Non-metro
2022-03-10,Posey County,IN,51.4,47.1,Metro
2022-03-10,Martin County,MN,58.3,55,Non-metro
2022-03-10,Dunn County,WI,51.9,48.8,Non-metro
2022-03-10,Richland County,OH,46,43.6,Metro
2022-03-10,Adams County,IA,59.6,56.1,Non-metro
2022-03-10,Doniphan County,KS,55,47.9,Metro
2022-03-10,Crawford County,WI,61.8,58,Non-metro
2022-03-10,Boyd County,NE,35.3,34.9,Non-metro
2022-03-10,Hyde County,SD,64,53.8,Non-metro
2022-03-10,Pulaski County,MO,61.5,50.4,Non-metro
2022-03-10,Iron County,MI,58.9,55.5,Non-metro
2022-03-10,Hitchcock County,NE,0,33.7,Non-metro
2022-03-10,Tuscarawas County,OH,46.6,44,Non-metro
2022-03-10,Dade County,MO,48.5,43,Non-metro
2022-03-10,Wayne County,MO,41.8,36,Non-metro
2022-03-10,Union County,OH,64.5,61.9,Metro
2022-03-10,Otoe County,NE,56.8,55.7,Non-metro
2022-03-10,Livingston County,MO,48.1,42.7,Non-metro
2022-03-10,Washington County,MN,75.2,69.9,Metro
2022-03-10,Calhoun County,IA,62.7,59,Non-metro
2022-03-10,Cedar County,IA,63.8,59.7,Non-metro
2022-03-10,Sargent County,ND,64.8,58.2,Non-metro
2022-03-10,Lincoln County,KS,47.3,43.6,Non-metro
2022-03-10,Fillmore County,MN,73,68,Metro
2022-03-10,Maries County,MO,49.2,43.6,Non-metro
2022-03-10,Crawford County,OH,46.8,44.8,Non-metro
2022-03-10,Kane County,IL,73.7,66.5,Metro
2022-03-10,Washington County,OH,60.5,55,Non-metro
2022-03-10,Linn County,KS,39.3,35,Metro
2022-03-10,Jackson County,OH,50.4,46.8,Non-metro
2022-03-10,McCook County,SD,69.6,56.9,Metro
2022-03-10,Marion County,IN,63.1,55.2,Metro
2022-03-10,Unknown County,NE,0,0,NA
2022-03-10,Jo Daviess County,IL,88.9,77.1,Non-metro
2022-03-10,Pike County,IN,62.8,57.1,Non-metro
2022-03-10,Monroe County,OH,52.1,46,Non-metro
2022-03-10,Schuyler County,IL,58.7,55.6,Non-metro
2022-03-10,Norman County,MN,65.8,59.8,Non-metro
2022-03-10,Waseca County,MN,59.9,56.8,Non-metro
2022-03-10,Porter County,IN,62.3,56.4,Metro
2022-03-10,McIntosh County,ND,50.7,43.3,Non-metro
2022-03-10,Randolph County,MO,44.3,37.7,Non-metro
2022-03-10,Huntington County,IN,54.7,50,Non-metro
2022-03-10,Hardin County,IA,59.3,55.8,Non-metro
2022-03-10,DeKalb County,IN,46.1,42.1,Non-metro
2022-03-10,Union County,IA,55,51,Non-metro
2022-03-10,Charles Mix County,SD,70.4,53.6,Non-metro
2022-03-10,Scioto County,OH,54.9,48.9,Non-metro
2022-03-10,Edmunds County,SD,54.2,45.6,Non-metro
2022-03-10,Shawano County,WI,56.8,53.2,Non-metro
2022-03-10,Washburn County,WI,67.6,62.6,Non-metro
2022-03-10,Mills County,IA,63.3,54.9,Metro
2022-03-10,Haskell County,KS,44,38.8,Non-metro
2022-03-10,Wyandotte County,KS,69.1,56.7,Metro
